iter	Passed	Remaining
757	66117	21108
758	66204	21021
759	66303	20937
760	66392	20851
761	66495	20768
762	66587	20683
763	66677	20596
764	66759	20507
765	66852	20422
766	66927	20331
767	67033	20249
768	67131	20165
769	67216	20077
770	67311	19992
771	67389	19902
772	67481	19816
773	67551	19724
774	67633	19635
775	67709	19545
776	67802	19459
777	67898	19374
778	67993	19289
779	68066	19198
780	68156	19111
781	68239	19023
782	68327	18936
783	68400	18844
784	68476	18754
785	68559	18666
786	68628	18574
787	68709	18485
788	68787	18395
789	68870	18307
790	68949	18217
791	69027	18128
792	69104	18038
793	69186	17950
794	69266	17861
795	69348	17772
796	69423	17682
797	69506	17594
798	69590	17506
799	69683	17420
800	69812	17344
801	69912	17260
802	69997	17172
803	70092	17087
804	70173	16998
805	70266	16912
806	70358	16826
807	70436	16737
808	70516	16648
809	70609	16562
810	70687	16473
811	70771	16385
812	70843	16294
813	70925	16206
814	71016	16120
815	71131	16039
816	71213	15951
817	71300	15863
818	71379	15775
819	71453	15684
820	71537	15596
821	71626	15510
822	71698	15420
823	71787	15333
824	71867	15244
825	71958	15158
826	72048	15071
827	72150	14987
828	72251	14903
829	72360	14820
830	72460	14736
831	72567	14652
832	72666	14568
833	72772	14484
834	72875	14400
835	72983	14317
836	73084	14232
837	73172	14145
838	73251	14056
839	73336	13968
840	73417	13880
841	73496	13791
842	73581	13703
843	73660	13614
844	73746	13527
845	73832	13440
846	73944	13357
847	74024	13268
848	74112	13181
849	74208	13095
850	74324	13013
851	74407	12925
852	74488	12836
853	74568	12748
854	74662	12662
855	74743	12573
856	74841	12488
857	74917	12398
858	75007	12312
859	75086	12223
860	75171	12135
861	75263	12049
862	75352	11962
863	75431	11873
864	75511	11784
865	75587	11695
866	75666	11607
867	75744	11518
868	75818	11429
869	75899	11341
870	75974	11252
871	76056	11164
872	76143	11077
873	76247	10992
874	76326	10903
875	76410	10816
876	76488	10727
877	76590	10642
878	76664	10553
879	76767	10468
880	76846	10379
881	76934	10292
882	77013	10204
883	77099	10117
884	77188	10030
885	77282	9943
886	77359	9855
887	77437	9766
888	77514	9678
889	77598	9590
890	77678	9502
891	77755	9414
892	77840	9326
893	77917	9238
894	78000	9150
895	78080	9062
896	78165	8975
897	78248	8887
898	78340	8801
899	78412	8712
900	78507	8626
901	78581	8537
902	78664	8450
903	78749	8362
904	78826	8274
905	78905	8186
906	78997	8100
907	79070	8011
908	79155	7924
909	79262	7839
910	79348	7751
911	79432	7664
912	79522	7577
913	79619	7491
914	79739	7407
915	79859	7323
916	79971	7238
917	80091	7154
918	80174	7066
919	80283	6981
920	80377	6894
921	80453	6806
922	80538	6718
923	80618	6630
924	80694	6542
925	80770	6454
926	80852	6367
927	80929	6278
928	81014	6191
929	81088	6103
930	81170	6015
931	81255	5928
932	81330	5840
933	81415	5753
934	81484	5664
935	81570	5577
936	81670	5491
937	81749	5403
938	81826	5315
939	81915	5228
940	81996	5141
941	82082	5053
942	82160	4966
943	82259	4879
944	82339	4792
945	82426	4705
946	82525	4618
947	82637	4532
948	82737	4446
949	82837	4359
950	82924	4272
951	83040	4186
952	83153	4100
953	83261	4014
954	83363	3928
955	83450	3840
956	83541	3753
957	83629	3666
958	83706	3578
959	83810	3492
960	83894	3404
961	83976	3317
962	84057	3229
963	84131	3141
964	84215	3054
965	84305	2967
966	84385	2879
967	84471	2792
968	84548	2704
969	84627	2617
970	84727	2530
971	84820	2443
972	84906	2356
973	84988	2268
974	85083	2181
975	85162	2094
976	85249	2006
977	85331	1919
978	85405	1831
979	85487	1744
980	85586	1657
981	85735	1571
982	85856	1484
983	85976	1397
984	86112	1311
985	86249	1224
986	86385	1137
987	86478	1050
988	86574	962
989	86678	875
990	86760	787
991	86860	700
992	86950	612
993	87057	525
994	87139	437
995	87233	350
996	87321	262
997	87409	175
998	87501	87
999	87605	0
